"월별(1)",2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"월별(1)",합계,합계,가정용,가정용,공공용,공공용,서비스업,서비스업,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,합계,합계,가정용,가정용,공공용,공공용,서비스업,서비스업,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,합계,합계,가정용,가정용,공공용,공공용,서비스업,서비스업,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,합계,합계,가정용,가정용,공공용,공공용,서비스업,서비스업,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,합계,합계,가정용,가정용,공공용,공공용,서비스업,서비스업,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,합계,합계,가정용,가정용,공공용,공공용,서비스업,서비스업,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,합계,합계,가정용,가정용,공공용,공공용,서비스업,서비스업,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,합계,합계,가정용,가정용,공공용,공공용,서비스업,서비스업,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용
"월별(1)",소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,광업,광업,제조업,제조업,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,광업,광업,제조업,제조업,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,광업,광업,제조업,제조업,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,광업,광업,제조업,제조업,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,광업,광업,제조업,제조업,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,광업,광업,제조업,제조업,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,광업,광업,제조업,제조업,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,광업,광업,제조업,제조업
"월별(1)",전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%),전력사용량 (MWh),점유율 (%)
"합계",45466410,100.00,2448504,5.39,1026522,2.26,6399018,14.07,35592367,78.28,1602374,3.52,255449,0.56,33734544,74.20,47294961,100.00,2423744,5.12,992261,2.10,6258873,13.23,37620083,79.54,1628947,3.44,274278,0.58,35716859,75.52,47286062,100.00,2509792,5.31,1007144,2.13,6753172,14.28,37015954,78.28,1767004,3.74,280838,0.59,34968112,73.95,48453931,100.00,2629227,5.43,1065147,2.20,7167563,14.79,37591995,77.58,1875034,3.87,292889,0.60,35424072,73.11,50180202,100.00,2691822,5.36,1089612,2.17,7164438,14.28,39234330,78.19,1928065,3.84,248312,0.49,37057953,73.85,52012705,100.00,2897959,5.57,1135633,2.18,7388134,14.20,40590981,78.04,2112522,4.06,168165,0.32,38310294,73.66,52644854,100.00,2887132,5.48,1121458,2.13,7375368,14.01,41260896,78.38,2136303,4.06,172239,0.33,38952353,73.99,50422731,100.00,3038548,6.03,1061722,2.11,7423314,14.72,38899147,77.15,2043578,4.05,198914,0.39,36656655,72.70
"1월",4111542,100.00,225206,5.48,117921,2.87,769232,18.71,2999184,72.95,167973,4.09,23121,0.56,2808090,68.30,4240903,100.00,218014,5.14,106864,2.52,713761,16.83,3202265,75.51,162910,3.84,23043,0.54,3016312,71.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4278712,100.00,228552,5.34,106690,2.49,758783,17.73,3184687,74.43,169721,3.97,24786,0.58,2990180,69.89,4362665,100.00,233731,5.36,109363,2.51,759690,17.41,3259881,74.72,179844,4.12,25594,0.59,3054443,70.01,4628993,100.00,251691,5.44,124254,2.68,795754,17.19,3457294,74.69,198827,4.30,13334,0.29,3245133,70.10,4792097,100.00,257782,5.38,123749,2.58,803413,16.77,3607154,75.27,215752,4.50,14444,0.30,3376958,70.47,4571805,100.00,259123,5.67,115682,2.53,780585,17.07,3416415,74.73,180379,3.95,13989,0.31,3222047,70.48
"2월",3622215,100.00,222551,6.14,104851,2.89,730022,20.15,2564791,70.81,165393,4.57,19558,0.54,2379840,65.70,3924659,100.00,220327,5.61,97665,2.49,689967,17.58,2916699,74.32,167341,4.26,19943,0.51,2729415,69.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4101465,100.00,235249,5.74,106600,2.60,811087,19.78,2948528,71.89,179962,4.39,21252,0.52,2747313,66.98,4225253,100.00,240236,5.69,107165,2.54,790746,18.71,3087106,73.06,194768,4.61,24687,0.58,2867651,67.87,4387240,100.00,257503,5.87,118250,2.70,840162,19.15,3171325,72.29,214399,4.89,12765,0.29,2944161,67.11,4297030,100.00,255760,5.95,103220,2.40,774274,18.02,3163776,73.63,212285,4.94,12236,0.28,2939255,68.40,4377241,100.00,260557,5.95,102364,2.34,758705,17.33,3255615,74.38,180763,4.13,14462,0.33,3060390,69.92
"3월",3808272,100.00,192539,5.06,94908,2.49,603436,15.85,2917389,76.61,155931,4.09,19815,0.52,2741643,71.99,4085945,100.00,191189,4.68,91723,2.24,589816,14.44,3213217,78.64,152309,3.73,20232,0.50,3040676,74.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4090460,100.00,210984,5.16,101677,2.49,677504,16.56,3100295,75.79,169827,4.15,22935,0.56,2907532,71.08,4277073,100.00,206931,4.84,101343,2.37,655892,15.34,3312907,77.46,177334,4.15,27417,0.64,3108156,72.67,4370210,100.00,220362,5.04,101265,2.32,666288,15.25,3382295,77.39,184775,4.23,14669,0.34,3182851,72.83,4414219,100.00,221381,5.02,100665,2.28,648506,14.69,3443667,78.01,191684,4.34,14599,0.33,3237383,73.34,4415487,100.00,241687,5.47,89423,2.03,680584,15.41,3403793,77.09,166033,3.76,15856,0.36,3221904,72.97
"4월",3708180,100.00,202949,5.47,90246,2.43,577898,15.58,2837087,76.51,128833,3.47,20487,0.55,2687768,72.48,3889221,100.00,200623,5.16,79468,2.04,532145,13.68,3076984,79.12,120194,3.09,24210,0.62,2932581,75.40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3938652,100.00,211166,5.36,84728,2.15,613578,15.58,3029179,76.91,141859,3.60,25316,0.64,2862005,72.66,4069577,100.00,216865,5.33,87510,2.15,593447,14.58,3171755,77.94,145123,3.57,26638,0.65,2999994,73.72,4158537,100.00,226267,5.44,87512,2.10,582306,14.00,3262452,78.45,147107,3.54,14297,0.34,3101048,74.57,4272633,100.00,232838,5.45,93622,2.19,629193,14.73,3316981,77.63,151064,3.54,15263,0.36,3150654,73.74,4072517,100.00,244974,6.02,76515,1.88,605702,14.87,3145326,77.23,145620,3.58,15303,0.38,2984403,73.28
"5월",3659870,100.00,190417,5.20,74324,2.03,483109,13.20,2912019,79.57,101863,2.78,22560,0.62,2787596,76.17,3820255,100.00,189048,4.95,68501,1.79,449157,11.76,3113549,81.50,103136,2.70,23480,0.61,2986932,78.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3822073,100.00,197431,5.17,71834,1.88,511518,13.38,3041290,79.57,111229,2.91,25009,0.65,2905052,76.01,3974475,100.00,201498,5.07,72282,1.82,497591,12.52,3203104,80.59,120149,3.02,26578,0.67,3056377,76.90,4128142,100.00,211956,5.13,76648,1.86,527496,12.78,3312042,80.23,124442,3.01,14119,0.34,3173481,76.87,4294717,100.00,215587,5.02,78520,1.83,554034,12.90,3446575,80.25,139272,3.24,14731,0.34,3292571,76.67,3920033,100.00,229533,5.86,69431,1.77,554291,14.14,3066778,78.23,146745,3.74,13862,0.35,2906171,74.14
"6월",3581181,100.00,189332,5.29,70570,1.97,406880,11.36,2914399,81.38,106610,2.98,22101,0.62,2785688,77.79,3809582,100.00,190839,5.01,69564,1.83,412269,10.82,3136911,82.34,112631,2.96,23834,0.63,3000446,78.76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3789423,100.00,199298,5.26,76363,2.02,489207,12.91,3024554,79.82,128727,3.40,25179,0.66,2870647,75.75,4000824,100.00,203256,5.08,75555,1.89,471687,11.79,3250326,81.24,139392,3.48,36218,0.91,3074716,76.85,4102184,100.00,215832,5.26,78817,1.92,514278,12.54,3293257,80.28,143402,3.50,14037,0.34,3135818,76.44,4253487,100.00,217233,5.11,78333,1.84,514187,12.09,3443733,80.96,154390,3.63,14381,0.34,3274962,76.99,4049675,100.00,233679,5.77,77990,1.93,540258,13.34,3197748,78.96,160843,3.97,14541,0.36,3022364,74.63
